Items|telcobuy_items-030915170147.txt
No of lines in the file: 1
No of bytes in the file: 252
#ITEM_NUMBER|MANUFACTURER|DESCRIPTION|SERIAL|ITEM_TYPE|TECHNOLOGY|LIST_PRICE|CUSTOMER_PART_NUMBER|PRIMARY|EXTERNAL_DOWNLOAD_FLAG|EXPENDITURE_TYPE|BOM_ITEM_TYPE|LAST_UPDATE_DATE|ITEM_STATUS
SEQ.17239|Dantel|Dantel,A25-00704-10,,,,AC to -48 DC power supply for,DSS01,,,|N|NETWORK||90|A25-00704-10|EA|B|Adjunct Data Proc Equip|Standard|04/02/2015 01:04:56|Active NTW
SEQ.17248|Sonus Networks|Sonus Networks,822-00097,,,,GSX9000HD Fan,Tray,,,|N|NETWORK||288|822-00097|EA|B|Adjunct Switch Equip|Standard|04/02/2015 01:04:56|Active NTW
CEQ.15208|Ericsson|Ericsson,1/BFM901575,,,,CABINET/Purcell FLX16-2520,1600W - RBS (V2,Cab),,|Y|NETWORK||6750|1/BFM901575|EA|E|Radio Cabinets|Standard|04/02/2015 01:04:56|Active NTW
CEQ.15251|Corning|Corning,OIM,,,,Optical Interface,Module,,,|Y|NETWORK||1288|OIM|EA|E|Radio Cabinets|Standard|04/02/2015 01:04:56|Active NTW
CEQ.15262|Corning|Corning,RIM-A17,,,,Radio Interface Module (RIM),-,AWS,,|Y|NETWORK||506|RIM-A17|EA|E|Radio Cabinets|Standard|04/02/2015 01:04:56|Active NTW
CEQ.15263|Corning|Corning,RIM-A17-M,,,,Radio Interface Module (RIM),- AWS,(MIMO),,|Y|NETWORK||506|RIM-A17-M|EA|E|Radio Cabinets|Standard|04/02/2015 01:04:56|Active NTW
CEQ.15264|Corning|Corning,RIM-C85,,,,Radio Interface Module (RIM),-,CELL,,|Y|NETWORK||506|RIM-C85|EA|E|Radio Cabinets|Standard|04/02/2015 01:04:56|Active NTW
CEQ.15266|Corning|Corning,RIM-L70,,,,Radio Interface Module (RIM),-,LTE,,|Y|NETWORK||506|RIM-L70|EA|E|Radio Cabinets|Standard|04/02/2015 01:04:56|Active NTW
CEQ.15267|Corning|Corning,RIM-L70-M,,,,Radio Interface Module (RIM),- LTE,(MIMO),,|Y|NETWORK||506|RIM-L70-M|EA|E|Radio Cabinets|Standard|04/02/2015 01:04:56|Active NTW
CEQ.15268|Corning|Corning,RIM-P19,,,,Radio Interface Module (RIM),-,PCS,,|Y|NETWORK||506|RIM-P19|EA|E|Radio Cabinets|Standard|04/02/2015 01:04:56|Active NTW
