SOURCE,PO_CREATED,SUPPLIER,SSPN_PO,SSPN_LINE,EXT_SYS_REF,EXT_SYS_LINE
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103765483,2,0001185035-1,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103765995,1,0001185067-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103765996,1,0001185068-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103766073,1,0001185099-1,3
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103766330,1,0001185132-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103766336,1,0001185135-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103766320,1,0001185146-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103766314,1,0001185155-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103766363,1,0001185163-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103766470,1,0001185170-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103766468,1,0001185171-1,1
